Resuming from checkpoint: checkpoints/step_031000
  Resumed at step 31000

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Memory: 531 MB
============================================================

step 31,010 | loss 1.9822 | lr 9.54e-05 | 1224 tok/s
step 31,020 | loss 2.0596 | lr 9.53e-05 | 1211 tok/s
step 31,030 | loss 2.0363 | lr 9.52e-05 | 1232 tok/s
step 31,040 | loss 1.9142 | lr 9.51e-05 | 1195 tok/s
step 31,050 | loss 1.6760 | lr 9.50e-05 | 1207 tok/s
step 31,060 | loss 1.9728 | lr 9.49e-05 | 1051 tok/s
step 31,070 | loss 2.0266 | lr 9.48e-05 | 799 tok/s
step 31,080 | loss 2.0584 | lr 9.48e-05 | 752 tok/s
step 31,090 | loss 2.2087 | lr 9.47e-05 | 783 tok/s
step 31,100 | loss 1.7582 | lr 9.46e-05 | 830 tok/s
step 31,110 | loss 1.8976 | lr 9.45e-05 | 827 tok/s
step 31,120 | loss 1.7796 | lr 9.44e-05 | 976 tok/s
step 31,130 | loss 1.7401 | lr 9.43e-05 | 963 tok/s
step 31,140 | loss 1.9241 | lr 9.42e-05 | 874 tok/s
step 31,150 | loss 1.8244 | lr 9.41e-05 | 848 tok/s
step 31,160 | loss 1.7294 | lr 9.41e-05 | 872 tok/s
step 31,170 | loss 1.9688 | lr 9.40e-05 | 880 tok/s
step 31,180 | loss 1.6043 | lr 9.39e-05 | 932 tok/s
step 31,190 | loss 1.8249 | lr 9.38e-05 | 871 tok/s
step 31,200 | loss 1.8312 | lr 9.37e-05 | 882 tok/s
step 31,210 | loss 1.6683 | lr 9.36e-05 | 947 tok/s
step 31,220 | loss 1.9481 | lr 9.35e-05 | 942 tok/s
step 31,230 | loss 1.9735 | lr 9.34e-05 | 836 tok/s
step 31,240 | loss 2.0661 | lr 9.34e-05 | 782 tok/s
step 31,250 | loss 2.0298 | lr 9.33e-05 | 745 tok/s
step 31,260 | loss 1.7424 | lr 9.32e-05 | 679 tok/s
step 31,270 | loss 1.8783 | lr 9.31e-05 | 752 tok/s
step 31,280 | loss 2.0978 | lr 9.30e-05 | 727 tok/s
step 31,290 | loss 1.8639 | lr 9.29e-05 | 767 tok/s
step 31,300 | loss 1.5713 | lr 9.28e-05 | 832 tok/s
step 31,310 | loss 1.9913 | lr 9.27e-05 | 844 tok/s
step 31,320 | loss 1.8575 | lr 9.26e-05 | 831 tok/s
step 31,330 | loss 2.0716 | lr 9.26e-05 | 810 tok/s
step 31,340 | loss 2.0821 | lr 9.25e-05 | 828 tok/s
step 31,350 | loss 2.0646 | lr 9.24e-05 | 793 tok/s
step 31,360 | loss 1.9481 | lr 9.23e-05 | 839 tok/s
step 31,370 | loss 2.0746 | lr 9.22e-05 | 810 tok/s
step 31,380 | loss 1.7893 | lr 9.21e-05 | 853 tok/s
step 31,390 | loss 1.7217 | lr 9.20e-05 | 824 tok/s
step 31,400 | loss 1.8495 | lr 9.20e-05 | 825 tok/s
step 31,410 | loss 1.8117 | lr 9.19e-05 | 805 tok/s
step 31,420 | loss 1.7403 | lr 9.18e-05 | 688 tok/s
step 31,430 | loss 1.7128 | lr 9.17e-05 | 773 tok/s
step 31,440 | loss 1.5783 | lr 9.16e-05 | 748 tok/s
step 31,450 | loss 1.9064 | lr 9.15e-05 | 738 tok/s
step 31,460 | loss 1.8297 | lr 9.14e-05 | 742 tok/s
step 31,470 | loss 1.6147 | lr 9.13e-05 | 725 tok/s
step 31,480 | loss 1.7433 | lr 9.13e-05 | 648 tok/s
step 31,490 | loss 1.9767 | lr 9.12e-05 | 765 tok/s
step 31,500 | loss 1.6026 | lr 9.11e-05 | 795 tok/s
  [eval] step 31500 | val_loss 1.8271 | ppl 6.22
step 31,510 | loss 1.8271 | lr 9.10e-05 | 333 tok/s
step 31,520 | loss 2.1827 | lr 9.09e-05 | 782 tok/s
step 31,530 | loss 1.9035 | lr 9.08e-05 | 866 tok/s
step 31,540 | loss 1.7895 | lr 9.07e-05 | 894 tok/s
step 31,550 | loss 1.8688 | lr 9.06e-05 | 897 tok/s
step 31,560 | loss 2.1294 | lr 9.06e-05 | 875 tok/s
step 31,570 | loss 1.7285 | lr 9.05e-05 | 887 tok/s
step 31,580 | loss 1.8192 | lr 9.04e-05 | 893 tok/s
step 31,590 | loss 1.8188 | lr 9.03e-05 | 887 tok/s
step 31,600 | loss 1.8931 | lr 9.02e-05 | 870 tok/s
step 31,610 | loss 1.7874 | lr 9.01e-05 | 872 tok/s
step 31,620 | loss 1.6806 | lr 9.00e-05 | 859 tok/s
step 31,630 | loss 1.8855 | lr 9.00e-05 | 929 tok/s
step 31,640 | loss 1.7747 | lr 8.99e-05 | 942 tok/s
step 31,650 | loss 1.9102 | lr 8.98e-05 | 884 tok/s
step 31,660 | loss 1.7509 | lr 8.97e-05 | 941 tok/s
step 31,670 | loss 1.7405 | lr 8.96e-05 | 760 tok/s
step 31,680 | loss 1.8100 | lr 8.95e-05 | 929 tok/s
step 31,690 | loss 1.7701 | lr 8.94e-05 | 917 tok/s
step 31,700 | loss 1.8180 | lr 8.93e-05 | 885 tok/s
step 31,710 | loss 1.6716 | lr 8.93e-05 | 924 tok/s
step 31,720 | loss 1.6793 | lr 8.92e-05 | 941 tok/s
step 31,730 | loss 1.8952 | lr 8.91e-05 | 955 tok/s
step 31,740 | loss 1.8958 | lr 8.90e-05 | 939 tok/s
step 31,750 | loss 1.8714 | lr 8.89e-05 | 774 tok/s
step 31,760 | loss 1.6808 | lr 8.88e-05 | 745 tok/s
step 31,770 | loss 1.8618 | lr 8.87e-05 | 909 tok/s
step 31,780 | loss 1.8786 | lr 8.87e-05 | 859 tok/s
step 31,790 | loss 1.9543 | lr 8.86e-05 | 912 tok/s
step 31,800 | loss 1.8995 | lr 8.85e-05 | 933 tok/s
step 31,810 | loss 1.8375 | lr 8.84e-05 | 923 tok/s
step 31,820 | loss 1.6997 | lr 8.83e-05 | 920 tok/s
step 31,830 | loss 1.7464 | lr 8.82e-05 | 921 tok/s
step 31,840 | loss 1.7961 | lr 8.81e-05 | 927 tok/s
step 31,850 | loss 1.6622 | lr 8.80e-05 | 966 tok/s
step 31,860 | loss 1.5974 | lr 8.80e-05 | 933 tok/s
step 31,870 | loss 1.9393 | lr 8.79e-05 | 899 tok/s
step 31,880 | loss 1.7778 | lr 8.78e-05 | 943 tok/s
step 31,890 | loss 1.8500 | lr 8.77e-05 | 923 tok/s
step 31,900 | loss 1.7652 | lr 8.76e-05 | 918 tok/s
step 31,910 | loss 1.6331 | lr 8.75e-05 | 945 tok/s
