Resuming from checkpoint: checkpoints/step_296583
  Resumed at step 296583

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 534 MB
============================================================

step 296,590 | loss 2.2504 | lr 7.00e-06 | 1409 tok/s | fwd_bwd 2487ms data 0ms clip 21ms optim 118ms step 2633ms mem 1470/2439MB
step 296,600 | loss 1.5742 | lr 1.70e-05 | 1607 tok/s | fwd_bwd 2333ms data 1ms clip 23ms optim 118ms step 2492ms mem 1493/2439MB
step 296,610 | loss 0.5632 | lr 2.70e-05 | 1624 tok/s | fwd_bwd 2331ms data 1ms clip 23ms optim 118ms step 2492ms mem 1493/2439MB
step 296,620 | loss 0.9777 | lr 3.70e-05 | 1627 tok/s | fwd_bwd 2330ms data 1ms clip 22ms optim 117ms step 2489ms mem 1493/2439MB
step 296,630 | loss 0.7588 | lr 4.70e-05 | 1623 tok/s | fwd_bwd 2342ms data 1ms clip 22ms optim 126ms step 2511ms mem 1448/2439MB
step 296,640 | loss 0.3201 | lr 5.70e-05 | 1615 tok/s | fwd_bwd 2340ms data 1ms clip 23ms optim 116ms step 2497ms mem 1493/2439MB
step 296,650 | loss 1.4938 | lr 6.70e-05 | 1556 tok/s | fwd_bwd 2504ms data 1ms clip 23ms optim 117ms step 2666ms mem 1493/2439MB
step 296,660 | loss 0.2842 | lr 7.70e-05 | 1467 tok/s | fwd_bwd 2649ms data 1ms clip 23ms optim 118ms step 2811ms mem 1493/2439MB
step 296,670 | loss 0.6736 | lr 8.70e-05 | 1423 tok/s | fwd_bwd 2729ms data 1ms clip 23ms optim 118ms step 2892ms mem 1493/2439MB
step 296,680 | loss 0.3284 | lr 9.70e-05 | 1400 tok/s | fwd_bwd 2795ms data 1ms clip 23ms optim 118ms step 2957ms mem 1493/2439MB
step 296,690 | loss 1.0401 | lr 1.00e-04 | 1400 tok/s | fwd_bwd 2732ms data 1ms clip 23ms optim 118ms step 2893ms mem 1493/2439MB
step 296,700 | loss 0.4611 | lr 1.00e-04 | 1398 tok/s | fwd_bwd 2709ms data 0ms clip 20ms optim 111ms step 2850ms mem 1493/2439MB
step 296,710 | loss 0.8719 | lr 1.00e-04 | 1398 tok/s | fwd_bwd 2694ms data 1ms clip 23ms optim 119ms step 2858ms mem 1493/2439MB
step 296,720 | loss 0.5165 | lr 1.00e-04 | 1399 tok/s | fwd_bwd 2759ms data 1ms clip 23ms optim 119ms step 2921ms mem 1448/2439MB
step 296,730 | loss 0.9556 | lr 1.00e-04 | 1403 tok/s | fwd_bwd 2715ms data 1ms clip 20ms optim 111ms step 2863ms mem 1493/2439MB
step 296,740 | loss 0.2613 | lr 1.00e-04 | 1397 tok/s | fwd_bwd 2797ms data 1ms clip 23ms optim 119ms step 2960ms mem 1493/2439MB
step 296,750 | loss 0.7914 | lr 1.00e-04 | 1395 tok/s | fwd_bwd 2804ms data 1ms clip 23ms optim 119ms step 2967ms mem 1493/2439MB
step 296,760 | loss 0.7467 | lr 1.00e-04 | 1394 tok/s | fwd_bwd 2744ms data 1ms clip 23ms optim 119ms step 2907ms mem 1493/2439MB
step 296,770 | loss 0.7602 | lr 1.00e-04 | 1392 tok/s | fwd_bwd 2790ms data 1ms clip 23ms optim 118ms step 2952ms mem 1493/2439MB
step 296,780 | loss 1.0240 | lr 1.00e-04 | 1389 tok/s | fwd_bwd 2754ms data 1ms clip 22ms optim 118ms step 2915ms mem 1493/2439MB
step 296,790 | loss 0.8842 | lr 1.00e-04 | 1388 tok/s | fwd_bwd 2768ms data 1ms clip 22ms optim 119ms step 2931ms mem 1493/2439MB
step 296,800 | loss 0.4163 | lr 1.00e-04 | 1388 tok/s | fwd_bwd 2735ms data 0ms clip 20ms optim 111ms step 2875ms mem 1493/2439MB
step 296,810 | loss 0.4470 | lr 1.00e-04 | 1381 tok/s | fwd_bwd 2734ms data 1ms clip 20ms optim 111ms step 2884ms mem 1493/2439MB
step 296,820 | loss 0.4610 | lr 1.00e-04 | 1382 tok/s | fwd_bwd 2839ms data 1ms clip 21ms optim 116ms step 2996ms mem 1493/2439MB
step 296,830 | loss 0.2252 | lr 1.00e-04 | 1381 tok/s | fwd_bwd 2765ms data 1ms clip 23ms optim 119ms step 2929ms mem 1448/2439MB
step 296,840 | loss 0.2963 | lr 1.00e-04 | 1379 tok/s | fwd_bwd 2764ms data 1ms clip 24ms optim 119ms step 2928ms mem 1493/2439MB
step 296,850 | loss 0.2518 | lr 1.00e-04 | 1384 tok/s | fwd_bwd 2749ms data 1ms clip 20ms optim 111ms step 2893ms mem 1452/2439MB
step 296,860 | loss 0.2637 | lr 1.00e-04 | 1377 tok/s | fwd_bwd 2793ms data 1ms clip 23ms optim 120ms step 2959ms mem 1493/2439MB
step 296,870 | loss 0.2521 | lr 1.00e-04 | 1379 tok/s | fwd_bwd 2768ms data 1ms clip 23ms optim 119ms step 2933ms mem 1493/2439MB
step 296,880 | loss 0.2217 | lr 1.00e-04 | 1382 tok/s | fwd_bwd 2763ms data 1ms clip 23ms optim 119ms step 2926ms mem 1493/2439MB
step 296,890 | loss 0.2734 | lr 1.00e-04 | 1383 tok/s | fwd_bwd 2776ms data 1ms clip 23ms optim 119ms step 2940ms mem 1493/2439MB
step 296,900 | loss 0.2420 | lr 1.00e-04 | 1376 tok/s | fwd_bwd 2773ms data 1ms clip 23ms optim 119ms step 2937ms mem 1493/2439MB
step 296,910 | loss 0.3065 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2799ms data 1ms clip 23ms optim 119ms step 2963ms mem 1493/2439MB
step 296,920 | loss 0.2659 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2747ms data 1ms clip 23ms optim 118ms step 2911ms mem 1489/2439MB
step 296,930 | loss 0.3037 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2758ms data 1ms clip 23ms optim 118ms step 2921ms mem 1493/2439MB
step 296,940 | loss 0.2257 | lr 1.00e-04 | 1381 tok/s | fwd_bwd 2777ms data 1ms clip 23ms optim 119ms step 2940ms mem 1448/2439MB
step 296,950 | loss 0.2740 | lr 1.00e-04 | 1383 tok/s | fwd_bwd 2846ms data 1ms clip 23ms optim 119ms step 3009ms mem 1493/2439MB
step 296,960 | loss 0.1941 | lr 1.00e-04 | 1380 tok/s | fwd_bwd 2841ms data 1ms clip 23ms optim 118ms step 3004ms mem 1493/2439MB
step 296,970 | loss 0.2651 | lr 1.00e-04 | 1381 tok/s | fwd_bwd 2844ms data 1ms clip 23ms optim 119ms step 3008ms mem 1493/2439MB
step 296,980 | loss 0.2060 | lr 1.00e-04 | 1382 tok/s | fwd_bwd 2779ms data 1ms clip 23ms optim 119ms step 2944ms mem 1493/2439MB
step 296,990 | loss 0.2724 | lr 1.00e-04 | 1377 tok/s | fwd_bwd 2771ms data 1ms clip 23ms optim 119ms step 2934ms mem 1493/2439MB
step 297,000 | loss 0.2448 | lr 1.00e-04 | 1377 tok/s | fwd_bwd 2777ms data 1ms clip 20ms optim 111ms step 2922ms mem 1493/2439MB
  [eval] step 297000 | val_loss 0.7212 | ppl 2.06
Checkpoint saved: checkpoints/step_297000
  [samples] wrote checkpoints/step_297000/samples.txt
  Pruning old checkpoint: checkpoints/step_296000
step 297,010 | loss 0.2714 | lr 1.00e-04 | 573 tok/s | fwd_bwd 2787ms data 1ms clip 20ms optim 111ms step 2931ms mem 1493/2439MB
step 297,020 | loss 0.2088 | lr 1.00e-04 | 1358 tok/s | fwd_bwd 2866ms data 1ms clip 20ms optim 111ms step 3018ms mem 1493/2439MB
step 297,030 | loss 0.2379 | lr 1.00e-04 | 1373 tok/s | fwd_bwd 2762ms data 0ms clip 20ms optim 111ms step 2898ms mem 1493/2439MB
step 297,040 | loss 0.3286 | lr 1.00e-04 | 1369 tok/s | fwd_bwd 2790ms data 1ms clip 23ms optim 120ms step 2954ms mem 1493/2439MB
step 297,050 | loss 0.2133 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2779ms data 1ms clip 23ms optim 120ms step 2944ms mem 1493/2439MB
step 297,060 | loss 0.2522 | lr 1.00e-04 | 1377 tok/s | fwd_bwd 2793ms data 1ms clip 23ms optim 120ms step 2958ms mem 1493/2439MB
step 297,070 | loss 0.2402 | lr 1.00e-04 | 1377 tok/s | fwd_bwd 2850ms data 1ms clip 23ms optim 119ms step 3013ms mem 1493/2439MB
step 297,080 | loss 0.1927 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2804ms data 1ms clip 23ms optim 119ms step 2967ms mem 1493/2439MB
step 297,090 | loss 0.2621 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2830ms data 1ms clip 23ms optim 119ms step 2995ms mem 1493/2439MB
step 297,100 | loss 0.1975 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2776ms data 1ms clip 20ms optim 111ms step 2927ms mem 1493/2439MB
step 297,110 | loss 0.2390 | lr 1.00e-04 | 1369 tok/s | fwd_bwd 2780ms data 1ms clip 24ms optim 119ms step 2944ms mem 1448/2439MB
step 297,120 | loss 0.2881 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2807ms data 1ms clip 23ms optim 119ms step 2972ms mem 1493/2439MB
step 297,130 | loss 0.2301 | lr 1.00e-04 | 1373 tok/s | fwd_bwd 2790ms data 1ms clip 20ms optim 111ms step 2938ms mem 1493/2439MB
step 297,140 | loss 0.2209 | lr 1.00e-04 | 1373 tok/s | fwd_bwd 2774ms data 1ms clip 23ms optim 120ms step 2938ms mem 1493/2439MB
step 297,150 | loss 0.1939 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2820ms data 1ms clip 23ms optim 119ms step 2984ms mem 1493/2439MB
step 297,160 | loss 0.2990 | lr 1.00e-04 | 1378 tok/s | fwd_bwd 2772ms data 1ms clip 20ms optim 111ms step 2920ms mem 1452/2439MB
step 297,170 | loss 0.2436 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2820ms data 0ms clip 20ms optim 111ms step 2956ms mem 1493/2439MB
step 297,180 | loss 0.2198 | lr 1.00e-04 | 1372 tok/s | fwd_bwd 2806ms data 1ms clip 23ms optim 119ms step 2970ms mem 1493/2439MB
step 297,190 | loss 0.2281 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2777ms data 1ms clip 23ms optim 119ms step 2940ms mem 1493/2439MB
step 297,200 | loss 0.2921 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2775ms data 1ms clip 23ms optim 119ms step 2939ms mem 1493/2439MB
step 297,210 | loss 0.2165 | lr 1.00e-04 | 1373 tok/s | fwd_bwd 2763ms data 0ms clip 20ms optim 111ms step 2901ms mem 1493/2439MB
step 297,220 | loss 0.1647 | lr 1.00e-04 | 1368 tok/s | fwd_bwd 2789ms data 1ms clip 23ms optim 120ms step 2953ms mem 1448/2439MB
step 297,230 | loss 0.2141 | lr 1.00e-04 | 1369 tok/s | fwd_bwd 2795ms data 1ms clip 23ms optim 120ms step 2960ms mem 1493/2439MB
step 297,240 | loss 0.2290 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2813ms data 1ms clip 24ms optim 119ms step 2978ms mem 1493/2439MB
step 297,250 | loss 0.2708 | lr 1.00e-04 | 1371 tok/s | fwd_bwd 2795ms data 1ms clip 23ms optim 121ms step 2962ms mem 1493/2439MB
step 297,260 | loss 0.2025 | lr 1.00e-04 | 1367 tok/s | fwd_bwd 2822ms data 1ms clip 20ms optim 112ms step 2975ms mem 1493/2439MB
step 297,270 | loss 0.2169 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2820ms data 1ms clip 23ms optim 119ms step 2984ms mem 1493/2439MB
step 297,280 | loss 0.2204 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2791ms data 1ms clip 23ms optim 119ms step 2955ms mem 1493/2439MB
step 297,290 | loss 0.1838 | lr 1.00e-04 | 1369 tok/s | fwd_bwd 2795ms data 1ms clip 23ms optim 118ms step 2958ms mem 1493/2439MB
step 297,300 | loss 0.2710 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2814ms data 1ms clip 23ms optim 120ms step 2979ms mem 1493/2439MB
step 297,310 | loss 0.2036 | lr 1.00e-04 | 1371 tok/s | fwd_bwd 2809ms data 1ms clip 23ms optim 120ms step 2972ms mem 1493/2439MB
step 297,320 | loss 0.2476 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2772ms data 1ms clip 23ms optim 119ms step 2936ms mem 1493/2439MB
step 297,330 | loss 0.1975 | lr 1.00e-04 | 1368 tok/s | fwd_bwd 2810ms data 1ms clip 23ms optim 119ms step 2973ms mem 1448/2439MB
step 297,340 | loss 0.2047 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2804ms data 1ms clip 23ms optim 120ms step 2969ms mem 1493/2439MB
step 297,350 | loss 0.1909 | lr 1.00e-04 | 1371 tok/s | fwd_bwd 2778ms data 1ms clip 23ms optim 119ms step 2942ms mem 1493/2439MB
step 297,360 | loss 0.2334 | lr 1.00e-04 | 1371 tok/s | fwd_bwd 2799ms data 1ms clip 23ms optim 119ms step 2962ms mem 1493/2439MB
step 297,370 | loss 0.2327 | lr 1.00e-04 | 1371 tok/s | fwd_bwd 2791ms data 1ms clip 23ms optim 119ms step 2955ms mem 1493/2439MB
step 297,380 | loss 0.2584 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2785ms data 1ms clip 23ms optim 119ms step 2947ms mem 1493/2439MB
step 297,390 | loss 0.2390 | lr 1.00e-04 | 1372 tok/s | fwd_bwd 2777ms data 1ms clip 20ms optim 111ms step 2928ms mem 1493/2439MB
step 297,400 | loss 0.2701 | lr 1.00e-04 | 1373 tok/s | fwd_bwd 2770ms data 1ms clip 23ms optim 120ms step 2934ms mem 1493/2439MB
step 297,410 | loss 0.2503 | lr 1.00e-04 | 1371 tok/s | fwd_bwd 2798ms data 1ms clip 23ms optim 120ms step 2963ms mem 1493/2439MB
step 297,420 | loss 0.2435 | lr 1.00e-04 | 1375 tok/s | fwd_bwd 2781ms data 1ms clip 23ms optim 119ms step 2943ms mem 1493/2439MB
step 297,430 | loss 0.2374 | lr 1.00e-04 | 1370 tok/s | fwd_bwd 2799ms data 1ms clip 23ms optim 119ms step 2963ms mem 1493/2439MB
step 297,440 | loss 0.2728 | lr 1.00e-04 | 1374 tok/s | fwd_bwd 2767ms data 1ms clip 23ms optim 120ms step 2932ms mem 1448/2439MB
step 297,450 | loss 0.2394 | lr 1.00e-04 | 1367 tok/s | fwd_bwd 2771ms data 1ms clip 20ms optim 112ms step 2917ms mem 1493/2439MB
step 297,460 | loss 0.2193 | lr 1.00e-04 | 1356 tok/s | fwd_bwd 2802ms data 1ms clip 23ms optim 118ms step 2966ms mem 1493/2439MB
step 297,470 | loss 0.1641 | lr 1.00e-04 | 1354 tok/s | fwd_bwd 2857ms data 1ms clip 23ms optim 119ms step 3021ms mem 1493/2439MB
step 297,480 | loss 0.2395 | lr 1.00e-04 | 1363 tok/s | fwd_bwd 2815ms data 1ms clip 23ms optim 120ms step 2980ms mem 1493/2439MB
step 297,490 | loss 0.1854 | lr 1.00e-04 | 1368 tok/s | fwd_bwd 2827ms data 1ms clip 20ms optim 111ms step 2973ms mem 1452/2439MB
step 297,500 | loss 0.2792 | lr 1.00e-04 | 1368 tok/s | fwd_bwd 2797ms data 1ms clip 23ms optim 119ms step 2961ms mem 1493/2439MB
  [eval] step 297500 | val_loss 0.6899 | ppl 1.99
Checkpoint saved: checkpoints/step_297500
  [samples] wrote checkpoints/step_297500/samples.txt
  Pruning old checkpoint: checkpoints/step_296500
step 297,510 | loss 0.2731 | lr 1.00e-04 | 569 tok/s | fwd_bwd 2779ms data 0ms clip 20ms optim 111ms step 2917ms mem 1452/2439MB
step 297,520 | loss 0.2282 | lr 1.00e-04 | 1364 tok/s | fwd_bwd 2796ms data 0ms clip 20ms optim 111ms step 2932ms mem 1493/2439MB
step 297,530 | loss 0.2584 | lr 1.00e-04 | 1367 tok/s | fwd_bwd 2813ms data 1ms clip 23ms optim 119ms step 2974ms mem 1493/2439MB
