Resuming from checkpoint: checkpoints/step_285847
  Resumed at step 285847

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 536 MB
============================================================

step 285,850 | loss 3.7573 | lr 9.84e-05 | 1167 tok/s | fwd_bwd 2344ms data 1ms clip 22ms optim 119ms step 2491ms mem 1493/2439MB
step 285,860 | loss 1.9247 | lr 9.84e-05 | 1625 tok/s | fwd_bwd 2368ms data 0ms clip 22ms optim 123ms step 2520ms mem 1493/2439MB
step 285,870 | loss 0.8342 | lr 9.84e-05 | 1614 tok/s | fwd_bwd 2350ms data 1ms clip 23ms optim 123ms step 2519ms mem 1448/2439MB
step 285,880 | loss 1.8083 | lr 9.84e-05 | 1624 tok/s | fwd_bwd 2334ms data 1ms clip 23ms optim 124ms step 2502ms mem 1493/2439MB
step 285,890 | loss 4.2516 | lr 9.84e-05 | 1625 tok/s | fwd_bwd 2331ms data 1ms clip 23ms optim 119ms step 2494ms mem 1492/2439MB
step 285,900 | loss 4.1024 | lr 9.84e-05 | 1623 tok/s | fwd_bwd 2332ms data 1ms clip 23ms optim 123ms step 2499ms mem 1493/2439MB
step 285,910 | loss 3.9117 | lr 9.84e-05 | 1620 tok/s | fwd_bwd 2332ms data 1ms clip 23ms optim 118ms step 2493ms mem 1493/2439MB
step 285,920 | loss 1.5515 | lr 9.84e-05 | 1620 tok/s | fwd_bwd 2345ms data 1ms clip 23ms optim 132ms step 2520ms mem 1493/2439MB
step 285,930 | loss 0.6441 | lr 9.84e-05 | 1621 tok/s | fwd_bwd 2333ms data 1ms clip 22ms optim 118ms step 2493ms mem 1448/2439MB
step 285,940 | loss 3.5790 | lr 9.84e-05 | 1618 tok/s | fwd_bwd 2346ms data 1ms clip 23ms optim 119ms step 2507ms mem 1493/2439MB
step 285,950 | loss 3.0783 | lr 9.84e-05 | 1601 tok/s | fwd_bwd 2430ms data 1ms clip 23ms optim 119ms step 2595ms mem 1493/2439MB
step 285,960 | loss 3.8463 | lr 9.84e-05 | 1528 tok/s | fwd_bwd 2528ms data 1ms clip 24ms optim 121ms step 2694ms mem 1488/2439MB
step 285,970 | loss 4.1882 | lr 9.84e-05 | 1489 tok/s | fwd_bwd 2564ms data 1ms clip 23ms optim 119ms step 2728ms mem 1493/2439MB
step 285,980 | loss 0.9747 | lr 9.84e-05 | 1400 tok/s | fwd_bwd 3351ms data 1ms clip 28ms optim 151ms step 3546ms mem 1493/2439MB
step 285,990 | loss 4.2482 | lr 9.84e-05 | 1207 tok/s | fwd_bwd 2998ms data 1ms clip 27ms optim 136ms step 3184ms mem 1493/2439MB
step 286,000 | loss 1.2087 | lr 9.83e-05 | 1279 tok/s | fwd_bwd 3118ms data 1ms clip 24ms optim 130ms step 3293ms mem 1493/2439MB
  [eval] step 286000 | val_loss 2.3812 | ppl 10.82
Checkpoint saved: checkpoints/step_286000
  [samples] wrote checkpoints/step_286000/samples.txt
  Pruning old checkpoint: checkpoints/step_285000
