Resuming from checkpoint: checkpoints/step_011000
  Resumed at step 11000

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 536 MB
============================================================

step 11,000 | loss 4.7000 | lr 1.75e-04 | 0 tok/s | fwd_bwd 9ms clip 21ms optim 341ms step 5283ms mem 1493/2587MB
  [eval] step 11000 | val_loss 4.5816 | ppl 97.67
Checkpoint saved: checkpoints/step_011000
  [samples] wrote checkpoints/step_011000/samples.txt
step 11,010 | loss 4.8976 | lr 1.75e-04 | 435 tok/s | fwd_bwd 16ms clip 20ms optim 111ms step 6083ms mem 1493/3928MB
step 11,020 | loss 4.7831 | lr 1.75e-04 | 1331 tok/s | fwd_bwd 14ms clip 20ms optim 111ms step 6152ms mem 1493/3928MB
step 11,030 | loss 4.0269 | lr 1.75e-04 | 1330 tok/s | fwd_bwd 17ms clip 23ms optim 119ms step 6212ms mem 1493/3928MB
step 11,040 | loss 4.1130 | lr 1.74e-04 | 1333 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6156ms mem 1493/3928MB
step 11,050 | loss 4.6191 | lr 1.74e-04 | 1330 tok/s | fwd_bwd 12ms clip 20ms optim 111ms step 6137ms mem 1493/3928MB
step 11,060 | loss 4.6885 | lr 1.74e-04 | 1334 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6109ms mem 1493/3928MB
step 11,070 | loss 4.5495 | lr 1.74e-04 | 1336 tok/s | fwd_bwd 10ms clip 23ms optim 118ms step 6194ms mem 1493/3928MB
step 11,080 | loss 4.2832 | lr 1.74e-04 | 1332 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6123ms mem 1452/3928MB
step 11,090 | loss 4.6309 | lr 1.73e-04 | 1333 tok/s | fwd_bwd 9ms clip 20ms optim 111ms step 6107ms mem 1493/3928MB
step 11,100 | loss 5.1442 | lr 1.73e-04 | 1337 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6153ms mem 1493/3928MB
step 11,110 | loss 4.3466 | lr 1.73e-04 | 1335 tok/s | fwd_bwd 19ms clip 23ms optim 118ms step 6191ms mem 1493/3928MB
step 11,120 | loss 4.0436 | lr 1.73e-04 | 1340 tok/s | fwd_bwd 4ms clip 20ms optim 111ms step 6099ms mem 1493/3928MB
step 11,130 | loss 4.1114 | lr 1.73e-04 | 1343 tok/s | fwd_bwd 12ms clip 20ms optim 111ms step 6063ms mem 1493/3928MB
step 11,140 | loss 4.4328 | lr 1.72e-04 | 1338 tok/s | fwd_bwd 10ms clip 20ms optim 112ms step 6089ms mem 1493/3928MB
step 11,150 | loss 3.7342 | lr 1.72e-04 | 1342 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 5994ms mem 1493/3928MB
step 11,160 | loss 4.2566 | lr 1.72e-04 | 1340 tok/s | fwd_bwd 17ms clip 23ms optim 120ms step 6319ms mem 1493/3928MB
step 11,170 | loss 4.3305 | lr 1.72e-04 | 1345 tok/s | fwd_bwd 19ms clip 23ms optim 120ms step 6077ms mem 1493/3928MB
step 11,180 | loss 4.1307 | lr 1.72e-04 | 1350 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 6058ms mem 1452/3928MB
