Policy from: checkpoints/step_351789
Ref from: baselines/pre_phase7d
Params: 189,748,992 | DPO beta=0.5 lr=1e-06 ga=4
Pairs: train 4000, eval 200
step 351,790 | loss 2.6527 | margin -9.126 | 3.8s/step
step 351,795 | loss 0.7097 | margin -0.460 | 4.1s/step
step 351,800 | loss 0.5811 | margin -19.885 | 3.9s/step
step 351,805 | loss 9.1452 | margin +4.080 | 4.0s/step
step 351,810 | loss 15.3061 | margin -14.680 | 3.9s/step
step 351,815 | loss 0.0052 | margin -8.988 | 4.0s/step
step 351,820 | loss 0.0639 | margin -12.814 | 4.1s/step
step 351,825 | loss 0.0000 | margin +13.124 | 4.1s/step
step 351,830 | loss 0.0641 | margin +1.051 | 4.1s/step
step 351,835 | loss 0.0098 | margin +17.970 | 4.6s/step
step 351,840 | loss 2.4966 | margin +1.447 | 4.4s/step
step 351,845 | loss 0.1373 | margin -1.627 | 4.7s/step
step 351,850 | loss 0.0016 | margin +3.463 | 4.3s/step
step 351,855 | loss 0.8800 | margin -7.677 | 4.4s/step
step 351,860 | loss 0.1431 | margin +14.707 | 4.8s/step
step 351,865 | loss 0.0004 | margin +27.608 | 4.7s/step
step 351,870 | loss 0.0000 | margin +7.208 | 4.2s/step
step 351,875 | loss 0.0961 | margin -4.568 | 4.5s/step
step 351,880 | loss 8.0505 | margin -15.682 | 4.9s/step
step 351,885 | loss 5.6852 | margin -18.888 | 4.4s/step
step 351,890 | loss 0.0681 | margin +35.367 | 4.5s/step
step 351,895 | loss 0.8743 | margin +29.976 | 4.4s/step
step 351,900 | loss 1.6263 | margin -14.409 | 4.5s/step
step 351,905 | loss 0.9781 | margin -3.036 | 4.0s/step
step 351,910 | loss 2.9142 | margin -1.659 | 4.0s/step
step 351,915 | loss 0.0000 | margin +17.920 | 3.9s/step
step 351,920 | loss 0.1143 | margin +0.952 | 4.2s/step
step 351,925 | loss 9.4958 | margin -2.560 | 4.6s/step
step 351,930 | loss 1.4048 | margin +1.947 | 4.1s/step
step 351,935 | loss 1.0054 | margin -0.758 | 4.0s/step
step 351,940 | loss 0.8816 | margin +9.004 | 4.3s/step
step 351,945 | loss 0.0013 | margin +15.568 | 4.5s/step
step 351,950 | loss 0.4400 | margin -2.226 | 4.2s/step
step 351,955 | loss 0.0000 | margin -8.141 | 4.4s/step
step 351,960 | loss 0.0124 | margin -5.251 | 4.2s/step
